#ObjectID	MJD	Range	Phase angle	RA	DE	dRA	dDE	Length	Beta	A*rho	m_abs	m_app	Luminosity	Shadow	Lon	Lat
#	d	m	deg	deg	deg	arcsec / s	arcsec / s	arcsec	--	m2	mag	mag	W	--	deg	deg
00001	60234.365142882	7.523e+06	0.54224	16.30242	5.94752	124.52695	-157.77233	1.39580	0.67408	2.52828	30.05798	30.18149	4.142e+14	False	-140.44392	6.10874
00002	60234.365142882	7.524e+06	0.57929	20.75502	0.07943	129.30780	-155.88428	1.40649	0.67408	2.52828	30.05798	30.19828	4.142e+14	False	-135.99490	0.20430
00003	60234.365142882	7.524e+06	0.62526	25.20603	-5.78870	137.14564	-152.74519	1.42556	0.67408	2.52828	30.05798	30.22052	4.142e+14	False	-131.54945	-5.70099
00004	60234.365142882	7.524e+06	0.67811	29.74975	-11.62063	148.44759	-148.09571	1.45617	0.67408	2.52828	30.05798	30.24798	4.142e+14	False	-127.01329	-11.56934
00005	60234.365142882	7.525e+06	0.73624	34.48624	-17.37765	163.70939	-141.54744	1.50290	0.67408	2.52828	30.05798	30.28049	4.142e+14	False	-122.28651	-17.36073
00006	60234.365142882	7.525e+06	0.79840	39.52662	-23.01478	183.37237	-132.56417	1.57133	0.67408	2.52828	30.05798	30.31792	4.142e+14	False	-117.25824	-23.02917
00007	60234.365142882	7.526e+06	0.86371	44.99917	-28.47749	207.51292	-120.46900	1.66630	0.67408	2.52828	30.05798	30.36014	4.142e+14	False	-111.80045	-28.51956
00008	60234.365142882	7.526e+06	0.93153	51.05401	-33.69655	235.30519	-104.52601	1.78803	0.67408	2.52828	30.05798	30.40711	4.142e+14	False	-105.76328	-33.76265
00009	60234.365142882	7.527e+06	1.00139	57.86394	-38.58178	264.39266	-84.15405	1.92682	0.67408	2.52828	30.05798	30.45875	4.142e+14	False	-98.97396	-38.66887
00010	60234.365142882	7.528e+06	1.07297	65.61627	-43.01578	290.68298	-59.26916	2.06017	0.67408	2.52828	30.05798	30.51505	4.142e+14	False	-91.24462	-43.12202
00011	60234.365142882	7.528e+06	1.14606	74.48312	-46.84842	309.18324	-30.61066	2.15760	0.67408	2.52828	30.05798	30.57599	4.142e+14	False	-82.40140	-46.97363
00012	60234.365142882	7.529e+06	1.22052	84.55671	-49.89834	315.77377	0.19832	2.19287	0.67408	2.52828	30.05798	30.64156	4.142e+14	False	-72.34850	-50.04406
00013	60234.365142882	7.530e+06	1.29627	95.75087	-51.97089	308.88888	30.97468	2.15582	0.67408	2.52828	30.05798	30.71173	4.142e+14	False	-61.16675	-52.13974
00014	60234.365142882	7.531e+06	1.37326	107.71199	-52.89845	290.15878	59.54151	2.05698	0.67408	2.52828	30.05798	30.78648	4.142e+14	False	-49.20461	-53.09280
00015	60234.365142882	7.532e+06	1.45149	119.84245	-52.59486	263.74006	84.29712	1.92281	0.67408	2.52828	30.05798	30.86572	4.142e+14	False	-37.05825	-52.81526
